,0,1,2,3,4,5,6,7,8,9,10,11
0,ROA_8,CHO_9,RIC_10,GSP_11,CHS_12,CAE_13,,,,,,
1,ROA_8,RIC_9,CHO_10,ROA_11,RIC_12,CHO_13,,,,,,
2,ROA_5,RIC_6,ROA_7,,,,,,,,,
3,ROA_5,RIC_6,CHO_7,LYH_8,ROA_9,RIC_10,CHO_11,,,,,
4,CAE_4,CHS_5,,,,,,,,,,
5,CAE_3,CHS_4,GSP_5,CHS_6,CAE_7,CHS_8,GSP_9,,,,,
6,ROA_3,RIC_4,MYR_5,RIC_6,ROA_7,CHO_8,ROA_9,RIC_10,,,,
7,CHS_7,CAE_8,CHS_9,CAE_10,,,,,,,,
8,CHS_5,CAE_6,CHS_7,,,,,,,,,
9,CHS_3,GSP_4,CHS_5,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,
10,CHS_8,GSP_9,,,,,,,,,,
11,ROA_8,RIC_9,,,,,,,,,,
12,GSP_8,CAE_9,CHS_10,,,,,,,,,
13,RIC_5,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,CHO_12,RIC_13,,,
14,GSP_8,CHS_9,CAE_10,CHS_11,CAE_12,CHS_13,,,,,,
15,CHO_2,RIC_3,ROA_4,RIC_5,ROA_6,RIC_7,,,,,,
16,RIC_8,ROA_9,,,,,,,,,,
17,CHS_6,CAE_7,CHS_8,GSP_9,CHS_10,,,,,,,
18,RIC_4,ROA_5,RIC_6,CHO_7,RIC_8,ROA_9,RIC_10,ROA_11,RIC_12,ROA_13,,
19,CAE_5,CHS_6,CAE_7,,,,,,,,,
20,ROA_7,RIC_8,CHO_9,ROA_10,RIC_11,ROA_12,RIC_13,,,,,
21,CAE_8,CHS_9,,,,,,,,,,
22,ROA_9,RIC_10,ROA_11,CHO_12,RIC_13,,,,,,,
23,ROA_6,CHO_7,RIC_8,ROA_9,RIC_10,,,,,,,
24,ROA_4,RIC_5,ROA_6,RIC_7,GSP_8,CHS_9,CAE_10,CHS_11,CAE_12,,,
25,CHS_8,CAE_9,CHS_10,,,,,,,,,
26,RIC_9,ROA_10,RIC_11,ROA_12,,,,,,,,
27,CHO_2,ROA_3,RIC_4,CHO_5,LYH_6,ROA_7,CHO_8,RIC_9,,,,
28,ROA_7,RIC_8,,,,,,,,,,
29,CAE_2,CHS_3,CAE_4,CHS_5,,,,,,,,
